name,type,ra,dec
NGC5128,Irregular galaxy,13h 25.5m,-43° 1'
NGC5139,Globular cluster,13h 26.8m,-47° 29'
NGC5194,Spiral galaxy,13h 29.9m,47° 12'
NGC5195,Irregular galaxy,13h 30m,47° 16'
NGC5236,Spiral galaxy,13h 37m,-29° 52'
NGC5248,Spiral galaxy,13h 37.5m,8° 53'
NGC5272,Globular cluster,13h 42.2m,28° 23'
NGC5322,Elliptical galaxy,13h 49.3m,60° 12'
NGC5363,Elliptical galaxy,13h 56.1m,5° 15'
NGC5377,Spiral galaxy,13h 56.3m,47° 14'
NGC5427,Spiral galaxy,14h 3.4m,-6° 2'
NGC5457,Spiral galaxy,14h 3.2m,54° 21'
NGC5457,Spiral galaxy,14h 3.2m,54° 21'
NGC5466,Globular cluster,14h 5.5m,28° 32'
NGC5566,Spiral galaxy,14h 20.3m,3° 56'
NGC5634,Globular cluster,14h 29.6m,-5° 59'
NGC5694,Globular cluster,14h 39.6m,-26° 32'
NGC5746,Spiral galaxy,14h 44.9m,1° 57'
NGC5775,Spiral galaxy,14h 54m,3° 33'
NGC5824,Globular cluster,15h 4m,-33° 4'
NGC5846,Elliptical galaxy,15h 6.5m,1° 36'
NGC5866,Elliptical galaxy,15h 6.5m,55° 46'
NGC5873,Planetary nebula,15h 12.8m,-38° 8'
NGC5897,Globular cluster,15h 17.4m,-21° 1'
NGC5904,Globular cluster,15h 18.6m,2° 5'
NGC5907,Spiral galaxy,15h 15.9m,56° 19'
NGC5982,Elliptical galaxy,15h 38.7m,59° 21'
NGC5986,Globular cluster,15h 46.1m,-37° 47'
NGC6058,Planetary nebula,16h 4.4m,40° 41'
NGC6093,Globular cluster,16h 17m,-22° 59'
NGC6121,Globular cluster,16h 23.6m,-26° 32'
NGC6139,Globular cluster,16h 27.7m,-38° 51'
NGC6144,Globular cluster,16h 27.3m,-26° 2'
NGC6171,Globular cluster,16h 32.5m,-13° 3'
NGC6205,Globular cluster,16h 41.7m,36° 28'
NGC6210,Planetary nebula,16h 44.5m,23° 49'
NGC6218,Globular cluster,16h 47.2m,-1° 57'
NGC6231,Open cluster,16h 54m,-41° 48'
NGC6254,Globular cluster,16h 57.1m,-4° 6'
NGC6266,Globular cluster,17h 1.2m,-30° 7'
NGC6268,Open cluster,17h 2.4m,-39° 44'
NGC6273,Globular cluster,17h 2.6m,-26° 16'
NGC6281,Open cluster,17h 4.8m,-37° 54'
NGC6284,Globular cluster,17h 4.5m,-24° 46'
NGC6293,Globular cluster,17h 10.2m,-26° 35'
NGC6302,Planetary nebula,17h 13.7m,-37° 6'
NGC6304,Globular cluster,17h 14.5m,-29° 28'
NGC6316,Globular cluster,17h 16.6m,-28° 8'
NGC6333,Globular cluster,17h 19.2m,-18° 31'
NGC6334,Diffuse nebula,17h 20.5m,-35° 43'
NGC6341,Globular cluster,17h 17.1m,43° 8'
NGC6352,Globular cluster,17h 25.5m,-48° 25'
NGC6356,Globular cluster,17h 23.6m,-17° 49'
NGC6369,Planetary nebula,17h 29.3m,-23° 46'
NGC6383,Open cluster,17h 34.8m,-32° 34'
NGC6388,Globular cluster,17h 36.3m,-44° 44'
NGC6397,Globular cluster,17h 40.7m,-53° 40'
NGC6400,Open cluster,17h 40.8m,-36° 57'
NGC6402,Globular cluster,17h 37.6m,-3° 15'
NGC6405,Open cluster,17h 40.1m,-32° 13'
NGC6441,Globular cluster,17h 50.2m,-37° 3'
NGC6445,Planetary nebula,17h 49.2m,-20° 1'
NGC6475,Open cluster,17h 53.9m,-34° 49'
NGC6494,Open cluster,17h 56.8m,-19° 1'
NGC6503,Spiral galaxy,17h 49.4m,70° 9'
NGC6514,Diffuse nebula,18h 2.6m,-23° 2'
NGC6520,Open cluster,18h 3.4m,-27° 54'
NGC6523,Diffuse nebula,18h 3.8m,-24° 23'
NGC6528,Globular cluster,18h 4.8m,-30° 3'
NGC6530,Open cluster,18h 4.8m,-24° 20'
NGC6531,Open cluster,18h 4.6m,-22° 30'
NGC6541,Globular cluster,18h 8m,-43° 42'
NGC6543,Planetary nebula,17h 58.6m,66° 38'
NGC6572,Planetary nebula,18h 12.1m,6° 51'
NGC6584,Globular cluster,18h 18.6m,-52° 13'
NGC6603,Open cluster,18h 16.9m,-18° 29'
NGC6611,Diffuse nebula,18h 18.8m,-13° 47'
NGC6613,Open cluster,18h 19.9m,-17° 8'
NGC6618,Diffuse nebula,18h 20.8m,-16° 11'
NGC6620,Planetary nebula,18h 22.9m,-26° 49'
NGC6624,Globular cluster,18h 23.7m,-30° 22'
