name,type,ra,dec
,star,8.185397,-40.758282
,star,8.186026,53.245087
,star,8.186023,84.407296
,star,8.186032,-46.297394
,star,8.186239,27.837318
,star,8.186257,-26.884129
,star,8.186316,-67.667877
,star,8.186332,-48.461994
,star,8.186336,-33.515863
,star,8.186686,-64.506434
,star,8.186992,-1.56638
,star,8.187395,-77.097478
,star,8.187432,-7.199145
,star,8.187664,-37.665725
,star,8.187863,-12.926999
,star,8.187944,9.82123
,star,8.18835,54.540238
,star,8.188362,-2.60488
,star,8.188543,-45.818119
,star,8.189007,47.58124
,star,8.189112,74.362884
,star,8.189304,-39.618545
,star,8.189365,-36.800972
,star,8.189352,38.731314
,star,8.189406,55.489984
,star,8.189912,78.258789
,star,8.190526,-42.987278
,star,8.190834,4.380471
,star,8.191302,43.40718
,star,8.191604,6.023184
,star,8.191712,-14.438148
,star,8.191792,38.123862
,star,8.191866,23.48227
,star,8.191958,31.304569
,star,8.192218,-70.511445
,star,8.192286,7.214252
,star,8.192353,-89.004416
,star,8.192501,-7.772539
,star,8.192549,-74.999209
,star,8.192678,-46.232902
,star,8.19268,-6.015785
,star,8.192796,-67.355087
,star,8.193034,-56.359743
,star,8.193117,16.997922
,star,8.193334,9.677714
,star,8.19354,16.217691
,star,8.193574,-59.249183
,star,8.193916,6.169061
,star,8.194082,32.45713
,star,8.194429,45.425623
,star,8.194716,24.207668
,star,8.195369,60.330301
,star,8.195582,-44.033776
,star,8.195754,11.183435
,star,8.195992,3.608607
,star,8.196174,45.323575
,star,8.196441,-44.240328
,star,8.196645,40.533535
,star,8.196631,66.017049
,star,8.196714,-12.678801
,star,8.196882,16.097853
,star,8.196921,51.322334
,star,8.196992,0.609031
,star,8.196997,16.523862
,star,8.197061,13.445603
,star,8.197097,51.769017
,star,8.197108,4.274538
,star,8.197162,-48.408112
,star,8.197287,-27.523539
,star,8.197292,-30.32261
,star,8.197559,31.873654
,star,8.197578,8.671013
,star,8.197599,-37.57408
,star,8.197758,-38.967964
,star,8.198155,-35.773029
,star,8.198321,-8.113567
,star,8.198356,-11.472571
,star,8.198554,-41.788636
,star,8.19856,-30.211897
,star,8.198617,45.209326
,star,8.198876,81.052052
,star,8.199146,13.389117
,star,8.199262,-51.962619
,star,8.199844,-53.788353
,star,8.199954,-40.484243
,star,8.199991,-46.644351
,star,8.200698,-21.992738
,star,8.201202,25.180288
,star,8.201399,46.941599
,star,8.201568,33.620867
,star,8.201683,-43.40044
,star,8.201901,59.897546
,star,8.202182,-35.732836
,star,8.202553,-20.688907
,star,8.2031,-28.576956
,star,8.203224,48.959292
,star,8.203498,-8.535907
Tegmine,star,8.203535,17.647771
,star,8.203627,-49.829051
,star,8.203762,2.289223
,star,8.204021,51.907085
,star,8.20428,-37.529209
,star,8.204358,-60.039321
,star,8.20444,-71.266135
,star,8.204444,-40.502782
,star,8.204692,39.699755
,star,8.204877,-24.174864
,star,8.206161,14.004117
,star,8.206223,-36.943759
,star,8.206287,-73.182113
,star,8.206766,-10.833002
,star,8.207603,-36.989231
,star,8.207837,-61.187774
,star,8.208554,-46.264285
,star,8.208744,17.625514
,star,8.208769,56.013986
,star,8.208837,2.834725
,star,8.208853,18.516856
,star,8.20909,-54.146452
,star,8.209212,-45.05915
,star,8.209353,50.009115
,star,8.209707,-36.667246
,star,8.210036,28.820165
,star,8.210222,34.445728
,star,8.210242,14.588167
,star,8.210359,46.009851
,star,8.210466,-36.674416
,star,8.210694,11.191113
,star,8.210953,7.305968
,star,8.210953,-44.392086
,star,8.210975,26.224186
,star,8.211092,-10.538665
,star,8.211352,19.051338
,star,8.211487,-61.849106
,star,8.211535,-66.39047
,star,8.211758,-13.47968
,star,8.211937,66.62747
,star,8.212121,-68.357747
,star,8.21234,29.54192
,star,8.212408,79.221053
,star,8.212751,-29.910769
,star,8.212834,47.176635
,star,8.213122,-50.661911
,star,8.213369,11.184677
,star,8.213552,68.474072
,star,8.213681,22.379831
,star,8.214077,4.928515
,star,8.214086,-36.228151
,star,8.214267,72.58998
,star,8.214321,-37.92447
,star,8.21445,-7.204632
,star,8.214587,9.577791
,star,8.214829,-16.216088
,star,8.215261,39.47317
,star,8.215302,-35.392899
,star,8.215756,30.44317
,star,8.21579,-40.539495
,star,8.215816,-13.855673
,star,8.216357,-14.952599
,star,8.216403,55.625266
,star,8.216592,16.51432
,star,8.216983,13.932909
,star,8.217838,-34.578527
,star,8.217901,25.314516
,star,8.218062,-19.457077
,star,8.218404,41.56119
,star,8.218624,-12.719387
,star,8.219042,-5.643262
,star,8.219028,-13.917039
,star,8.21913,29.656536
,star,8.219185,43.000524
,star,8.219662,50.116039
,star,8.219771,-21.241464
,star,8.219919,-23.970115
,star,8.219963,39.987028
,star,8.220258,-23.512021
,star,8.220338,5.001792
,star,8.220393,-22.397531
,star,8.220819,64.037293
,star,8.22084,-32.156133
,star,8.220858,-52.236187
,star,8.221232,-24.292584
,star,8.221488,49.220983
,star,8.221675,-5.640673
,star,8.221721,-36.341738
,star,8.221893,3.131484
,star,8.222037,-32.969056
,star,8.222094,-18.13955
,star,8.222213,-15.788221
,star,8.222349,-42.700132
,star,8.222367,70.465369
,star,8.222687,56.527856
,star,8.222715,-1.165885
,star,8.222751,-41.414202
,star,8.222859,-38.438354
,star,8.222898,35.035427
,star,8.222919,21.61057
,star,8.22296,-36.310418
,star,8.223011,-45.569645
,star,8.223035,20.280491
,star,8.223627,-4.064881
,star,8.224382,48.280817
,star,8.224866,-35.899518
,star,8.224926,-62.486557
,star,8.225251,-20.574808
,star,8.225293,-23.953164
,star,8.225295,28.291881
,star,8.225761,-33.299839
,star,8.226165,10.847158
,star,8.226167,-6.594397
,star,8.226178,-50.196072
,star,8.226259,-31.735381
,star,8.226657,10.380661
,star,8.22671,-46.991628
,star,8.226768,-45.59654
,star,8.226899,-17.124788
,star,8.22708,81.757791
,star,8.227165,16.646962
,star,8.227946,-63.421807
,star,8.228075,-33.569528
,star,8.228181,-76.166927
,star,8.228248,23.137729
,star,8.2283,34.111408
,star,8.228707,-22.34087
,star,8.228863,-31.549237
,star,8.229317,1.985571
,star,8.229351,63.103957
,star,8.229348,-46.578684
,star,8.229618,-41.465892
,star,8.229656,66.255746
,star,8.229921,-5.623863
,star,8.230342,-32.31942
,star,8.230538,1.256848
,star,8.230607,56.452246
,star,8.230724,22.279689
,star,8.230762,-35.208269
,star,8.231079,6.303281
,star,8.231288,-47.21172
,star,8.231427,-57.768308
,star,8.231532,27.77859
,star,8.231602,7.732746
,star,8.231697,-56.740236
,star,8.231738,61.56785
,star,8.231817,-43.619006
,star,8.232189,-37.678464
,star,8.232531,-4.053492
,star,8.232519,-50.312276
,star,8.232694,39.038332
,star,8.232791,-44.750915
,star,8.232865,-36.322281
,star,8.232896,-10.032133
,star,8.232973,-4.655146
,star,8.232972,-36.340777
,star,8.234108,21.667969
,star,8.234143,-40.34789
,star,8.234229,19.676819
,star,8.234389,-36.952206
,star,8.234631,-25.711766
,star,8.234761,-44.575795
,star,8.234801,12.269085
,star,8.234973,44.723639
,star,8.235421,-46.644814
,star,8.235466,-61.442083
,star,8.23576,87.692335
,star,8.235804,-49.234435
,star,8.236117,79.729525
,star,8.236197,37.754428
,star,8.236209,-65.916145
,star,8.236361,-34.791454
,star,8.236399,-32.140711
,star,8.236428,17.675955
,star,8.236976,-24.932504
,star,8.237017,-35.490019
,star,8.237675,-31.95311
,star,8.237803,-49.049455
,star,8.237865,68.922082
,star,8.238065,-5.900171
,star,8.238107,33.553969
,star,8.238447,-43.694325
,star,8.238545,8.573507
,star,8.238946,-50.36607
,star,8.238964,45.575423
,star,8.239165,13.048296
,star,8.239352,-16.185737
,star,8.239957,75.83481
,star,8.239965,-45.834522
,star,8.239992,-3.829912
,star,8.240281,-53.806391
,star,8.240377,-61.659553
,star,8.240846,20.707802
,star,8.241146,-5.704481
,star,8.241321,-56.756637
,star,8.241365,33.943779
,star,8.241466,-58.36301
,star,8.24157,-40.825873
,star,8.241649,-38.508744
,star,8.241759,58.957557
,star,8.241951,41.609458
,star,8.242055,-27.4168
,star,8.24209,-45.214054
,star,8.242214,10.188309
,star,8.242683,-27.762987
,star,8.243172,-34.665827
,star,8.243311,13.022825
,star,8.244176,1.157389
,star,8.244245,26.730002
,star,8.244282,-41.653911
,star,8.244328,-66.270132
,star,8.244361,62.936435
,star,8.244393,-25.999612
,star,8.244409,-58.164002
,star,8.244502,47.292446
,star,8.244663,33.178579
,star,8.245125,-49.983216
,star,8.245191,-73.807177
,star,8.245386,27.16319
,star,8.245427,24.734816
,star,8.246003,-39.761387
,star,8.246403,62.036642
,star,8.246609,-70.824835
,star,8.246719,-45.821538
,star,8.246947,43.034987
,star,8.24729,-38.412698
,star,8.247307,48.821161
,star,8.247364,-69.622639
,star,8.247567,-46.485892
,star,8.247729,20.285123
,star,8.247754,31.29405
,star,8.24789,36.460404
,star,8.247955,27.101827
,star,8.248322,52.943905
,star,8.248345,40.578549
,star,8.248735,21.080197
,star,8.248793,-55.51644
,star,8.24885,-17.275961
,star,8.249084,-35.688702
,star,8.249137,32.149232
,star,8.249413,-17.698548
,star,8.249872,16.07864
,star,8.249957,41.141188
,star,8.25019,-30.419288
,star,8.250192,-30.857117
,star,8.250246,-29.067773
,star,8.250491,-79.318674
,star,8.25058,-28.45133
,star,8.250919,50.090333
,star,8.251241,-59.626959
,star,8.252147,-6.918905
,star,8.252224,15.0399
,star,8.252493,23.747012
,star,8.252845,-40.432894
,star,8.25333,37.913613
,star,8.254093,-28.685914
,star,8.254338,-0.761645
,star,8.25435,5.554305
,star,8.254354,-49.180162
,star,8.254394,5.558034
,star,8.254427,-62.915643
,star,8.255272,-49.22241
,star,8.255678,60.017109
,star,8.255901,28.834702
,star,8.256461,-50.449222
,star,8.256516,46.108581
,star,8.256795,-23.637792
,star,8.256857,-71.838532
,star,8.256906,-11.292894
,star,8.257005,-52.060299
,star,8.257068,-0.087476
,star,8.257463,-27.639385
,star,8.257685,43.969788
,star,8.257743,-37.367461
,star,8.257797,-37.372034
,star,8.257935,-42.432905
,star,8.258053,-47.596483
,star,8.258397,-49.050138
,star,8.258551,43.004776
,star,8.258649,7.6372
,star,8.25867,9.977802
,star,8.258728,2.832189
,star,8.259038,53.267429
,star,8.259224,11.430949
,star,8.259317,-13.624266
,star,8.259496,-40.268199
,star,8.260425,-49.992917
,star,8.260592,-74.2287
,star,8.260888,-1.247331
,star,8.260986,17.572019
,star,8.261134,-26.009882
,star,8.261165,-4.980509
,star,8.261595,0.708156
,star,8.261696,66.175583
,star,8.261781,-44.322865
,star,8.261807,-29.156915
,star,8.262533,-10.448455
,star,8.262708,-30.579023
,star,8.262818,62.13233
,star,8.263428,-7.336468
,star,8.263483,2.80138
,star,8.263504,35.939299
,star,8.263661,20.745847
,star,8.26372,32.177236
,star,8.263753,2.799735
,star,8.264031,60.380602
,star,8.264165,-64.48493
,star,8.264596,-30.925944
,star,8.264681,-46.312283
,star,8.264691,50.785642
,star,8.264821,2.457063
,star,8.265621,-31.154475
,star,8.265813,44.277296
,star,8.266186,49.772074
,star,8.266234,18.693896
,star,8.26634,-35.903191
,star,8.266345,29.644151
,star,8.266401,-30.18456
,star,8.266483,-19.408235
,star,8.266523,40.561147
,star,8.266779,73.711061
,star,8.267075,-49.18529
,star,8.267267,49.902943
,star,8.267357,47.559729
,star,8.267609,-44.211225
,star,8.267683,-46.675277
,star,8.268217,-57.269235
,star,8.268297,-33.724205
,star,8.268465,57.094139
,star,8.268493,-5.242228
,star,8.268706,7.708848
,star,8.268751,3.796543
,star,8.268884,1.302573
,star,8.269311,-73.149816
,star,8.269407,46.802205
,star,8.269568,-43.636867
,star,8.27002,-15.68599
,star,8.270161,-35.882151
,star,8.270234,40.333328
,star,8.2707,52.342275
,star,8.270775,-64.506161
,star,8.270857,57.064929
,star,8.270856,-70.401437
,star,8.270926,9.406406
,star,8.271348,74.494236
,star,8.27151,-86.557293
,star,8.271784,-44.343488
,star,8.272626,-45.163969
,star,8.272873,63.730107
,star,8.273074,-17.367728
,star,8.27361,-36.202598
,star,8.273658,-39.753088
,star,8.273728,-2.885653
,star,8.273857,35.5507
,star,8.27402,-3.226087
,star,8.27473,30.967663
,star,8.274987,14.411825
Tarf,star,8.275256,9.185545
,star,8.275329,79.500972
,star,8.275375,-52.760013
,star,8.275518,22.940236
,star,8.275789,11.043606
,star,8.275834,37.281643
,star,8.275862,79.506551
,star,8.275947,44.935647
,star,8.276063,11.72624
,star,8.276392,59.228154
,star,8.276561,54.072112
,star,8.277075,-49.895326
,star,8.277178,-51.45871
,star,8.277425,-33.17736
,star,8.277807,-70.239398
,star,8.278457,7.389654
,star,8.278545,-9.053506
,star,8.279043,-21.882076
,star,8.279298,21.231019
,star,8.279377,7.372516
,star,8.279683,40.131447
,star,8.279778,-64.40316
,star,8.279898,-9.014306
,star,8.279986,75.742968
,star,8.280134,72.744899
,star,8.281033,-19.166355
,star,8.281135,-15.151959
,star,8.281158,-12.590754
,star,8.281319,-76.426604
,star,8.28133,-16.237552
,star,8.281372,-64.187058
,star,8.281385,-53.626358
,star,8.281443,10.540342
,star,8.281654,84.057642
,star,8.281695,32.463649
,star,8.28173,-21.32065
,star,8.281897,43.270611
,star,8.281969,-34.859617
,star,8.282188,18.079239
,star,8.282402,21.919809
,star,8.282464,64.591268
,star,8.282476,48.566523
,star,8.282564,-53.702517
,star,8.282655,-35.408736
,star,8.2828,59.189364
,star,8.282854,22.762556
,star,8.28322,-57.462358
,star,8.283538,41.938809
,star,8.283538,-43.093287
,star,8.283689,-45.75195
,star,8.284277,-33.007487
,star,8.285057,-34.497229
,star,8.285138,-10.864039
,star,8.285288,-68.685538
,star,8.285377,11.35121
,star,8.286001,-3.363724
,star,8.286027,-10.661937
,star,8.286518,-44.666774
,star,8.286547,-12.883376
,star,8.286686,-65.657164
,star,8.286823,-47.665535
,star,8.286924,-39.148357
,star,8.287402,-40.241469
,star,8.287442,-17.386664
,star,8.287534,-35.501174
,star,8.287639,-23.735498
,star,8.28769,-5.369108
,star,8.287958,-13.808467
,star,8.28796,-46.893244
,star,8.288025,24.677989
,star,8.288228,-42.521534
,star,8.288462,4.219169
,star,8.288614,-1.838743
,star,8.288755,-69.464185
,star,8.288772,-47.92008
,star,8.289404,-10.926359
,star,8.289582,52.926196
,star,8.289697,27.049281
,star,8.289759,-16.285111
,star,8.28979,-21.829074
,star,8.290532,-54.485131
,star,8.290758,-29.132264
,star,8.291208,-32.870046
,star,8.291258,60.551762
,star,8.291336,-62.864514
,star,8.291416,-26.302003
,star,8.29148,-41.007955
,star,8.291486,-3.989615
,star,8.291631,55.970107
,star,8.29187,69.68901
,star,8.292073,36.383457
,star,8.292125,8.86631
,star,8.292257,-72.285701
,star,8.292334,27.402312
,star,8.292788,70.177111
,star,8.292835,-58.697474
,star,8.292909,-25.002337
,star,8.293036,-18.95619
,star,8.2932,1.146025
,star,8.293413,24.837117
,star,8.29385,6.244961
,star,8.294133,0.479382
,star,8.294664,9.164713
,star,8.294805,-39.102979
,star,8.295007,-66.624709
,star,8.295196,44.749845
,star,8.29528,-50.328536
,star,8.295292,43.499171
,star,8.295354,76.212194
,star,8.295572,2.793533
,star,8.295642,-55.891757
,star,8.295817,-55.775311
,star,8.295832,-61.466697
,star,8.296153,-36.067591
,star,8.296279,25.442189
,star,8.296519,37.867641
,star,8.296975,-28.183233
,star,8.297069,-18.647906
,star,8.297207,19.835459
,star,8.297318,35.728393
,star,8.297338,59.571133
,star,8.297475,-41.927535
,star,8.297767,2.461685
,star,8.297806,-1.804042
,star,8.297878,21.17759
,star,8.298257,43.409808
,star,8.298498,-25.361166
,star,8.298571,64.791864
,star,8.298724,38.800819
,star,8.298823,-59.166825
,star,8.299522,-30.003697
,star,8.299791,13.639868
,star,8.299821,6.234113
,star,8.300053,-38.829431
,star,8.300118,-16.860652
,star,8.300315,-14.974939
,star,8.300319,-47.091863
,star,8.300463,-4.019039
,star,8.300949,66.101759
,star,8.300987,31.277932
,star,8.301397,-60.313899
,star,8.301835,26.424609
,star,8.302213,-51.969909
,star,8.302311,11.656846
,star,8.302544,-48.280994
,star,8.303002,30.600816
,star,8.3033,-14.226756
,star,8.303556,-37.374607
,star,8.303927,44.6125
,star,8.304006,15.67792
,star,8.30404,29.079057
,star,8.304388,54.143696
,star,8.304832,-35.451703
,star,8.305182,-30.654845
,star,8.305219,-65.613192
,star,8.30544,38.985642
,star,8.305593,-26.344715
,star,8.305754,-10.126047
,star,8.305924,5.074149
,star,8.305959,65.643655
,star,8.306041,12.561974
Násti,star,8.306136,61.460722
,star,8.306324,-24.6162
,star,8.306376,5.971715
,star,8.306388,-60.311191
,star,8.306383,9.15141
,star,8.306452,37.056159
,star,8.306651,-12.632173
,star,8.306855,-7.571282
,star,8.307102,-40.358547
,star,8.307274,22.220428
,star,8.307446,34.471064
,star,8.307501,38.962943
,star,8.308018,54.563844
,star,8.308084,18.964719
,star,8.308302,-85.076289
,star,8.308703,-76.919722
,star,8.308928,-52.706673
,star,8.309064,5.184726
,star,8.30925,-74.737831
,star,8.309258,-36.659288
,star,8.309637,-32.426114
,star,8.30966,-22.070726
,star,8.309708,47.034008
,star,8.309715,-15.43246
,star,8.309907,42.884668
,star,8.310049,58.071783
,star,8.310372,-14.566421
,star,8.310394,-40.32888
,star,8.310953,31.809596
,star,8.311591,33.335846
,star,8.311678,-30.639708
,star,8.311859,-8.85267
,star,8.311881,37.737225
,star,8.311886,14.275758
,star,8.312065,-30.655295
,star,8.312162,-6.181578
,star,8.312314,-29.842429
,star,8.312337,-15.202391
,star,8.312358,-75.014702
,star,8.312389,-20.54519
,star,8.312532,63.258701
,star,8.312752,-72.791488
,star,8.312826,39.724522
,star,8.31295,-29.750306
,star,8.313102,-46.059513
,star,8.313154,-3.361485
,star,8.314407,18.319553
,star,8.314739,59.578424
,star,8.314923,-42.526739
,star,8.314961,-67.691658
,star,8.31501,-45.036247
,star,8.315016,60.491609
,star,8.315202,26.335383
,star,8.315919,-39.079058
,star,8.316136,-60.194541
,star,8.316197,-47.210948
,star,8.316378,56.254713
,star,8.317497,49.446099
,star,8.317627,2.524417
,star,8.317659,-40.850054
,star,8.31789,18.163628
,star,8.317929,-29.738085
,star,8.318219,-48.197853
,star,8.318723,-2.0801
,star,8.318828,63.562171
,star,8.318921,-38.177241
,star,8.318962,72.241143
,star,8.319082,16.121861
,star,8.319174,-46.205247
,star,8.319222,24.17473
,star,8.319401,-54.539854
,star,8.319782,-61.702398
,star,8.319995,15.020057
,star,8.320083,-13.607968
,star,8.320386,14.200682
,star,8.320393,-43.975849
,star,8.320659,-7.558164
,star,8.320661,-29.769573
,star,8.32086,-5.619515
,star,8.320856,-10.165754
,star,8.320871,-26.799832
,star,8.321038,-27.849298
,star,8.321103,-67.804021
,star,8.321223,40.865523
,star,8.321298,-16.860639
,star,8.321437,62.507159
,star,8.321743,-23.797002
,star,8.321959,1.338864
,star,8.322142,-37.169834
,star,8.32221,48.126045
,star,8.32285,-20.16426
,star,8.32294,54.086005
,star,8.323246,28.227623
,star,8.323293,-9.808814
,star,8.323331,21.257254
,star,8.323819,32.497606
,star,8.323854,1.602915
,star,8.323863,-68.337062
,star,8.324374,35.023322
,star,8.324865,-11.88301
,star,8.324865,-34.590137
,star,8.324935,39.595367
,star,8.324936,-42.008805
,star,8.325303,-40.449561
,star,8.325491,35.04567
,star,8.325502,26.640885
,star,8.325613,-68.99186
,star,8.32562,75.756907
,star,8.326148,30.716429
,star,8.326366,45.467047
,star,8.326573,-0.789267
,star,8.326832,-26.707926
,star,8.326922,-46.439957
,star,8.327236,-31.823472
,star,8.328012,-25.423746
,star,8.328224,-58.890695
,star,8.328295,-50.666514
,star,8.328537,-27.081775
,star,8.328637,-18.264684
,star,8.328666,50.277208
,star,8.328794,20.918082
,star,8.32891,-60.103131
,star,8.329006,-35.316178
,star,8.329028,-49.536764
,star,8.329288,-37.417745
,star,8.32935,-33.6011
,star,8.329508,20.336944
,star,8.329881,35.201326
,star,8.330016,33.215022
,star,8.330274,-71.514906
,star,8.330511,-35.065348
,star,8.330518,3.948032
,star,8.33123,7.608418
,star,8.331253,4.742918
,star,8.331633,-56.249967
,star,8.33164,-12.85695
,star,8.332171,39.8847
,star,8.332717,-51.941849
,star,8.332756,-47.680019
,star,8.332898,63.069822
,star,8.332899,-36.611193
,star,8.332928,-53.688093
,star,8.333247,51.287333
,star,8.333254,-78.328503
,star,8.333318,-34.420555
,star,8.333362,19.850971
,star,8.333486,-71.505377
,star,8.333537,23.809324
,star,8.333702,16.223459
,star,8.333731,19.453251
,star,8.333776,-66.497179
,star,8.333805,-56.858262
,star,8.333946,6.271357
,star,8.333974,-50.883499
,star,8.334091,73.336151
,star,8.334232,-14.612723
,star,8.334406,27.217707
,star,8.33441,44.663879
,star,8.334675,-23.461888
,star,8.334681,-31.097797
,star,8.334733,55.20384
,star,8.334788,73.415189
,star,8.335349,-11.326881
,star,8.33535,53.197514
,star,8.335589,-47.66021
,star,8.335628,32.31578
,star,8.336294,-23.359273
,star,8.336308,-26.998736
,star,8.336601,-63.503796
,star,8.336784,-42.058905
,star,8.336854,-23.783508
,star,8.336944,-0.909314
,star,8.338061,-5.32993
,star,8.338204,25.496759
,star,8.338223,-87.727875
,star,8.338467,-50.967575
,star,8.338646,57.304793
,star,8.338741,-69.06133
,star,8.339042,-32.000167
,star,8.339158,20.747721
,star,8.339579,51.32142
,star,8.339617,-25.820292
,star,8.339773,-53.08138
,star,8.339845,8.007361
,star,8.339847,-46.992254
,star,8.339849,-33.775951
,star,8.339874,-34.454884
,star,8.339896,-2.6332
,star,8.340564,57.743278
,star,8.34093,-22.92468
,star,8.341193,-29.44959
,star,8.341423,53.574092
,star,8.341442,9.400118
,star,8.341524,-6.62715
Piautos,star,8.34226,24.022314
,star,8.342598,65.393972
,star,8.342799,38.345664
,star,8.342934,-44.254995
,star,8.343038,-13.63345
,star,8.343241,-45.149264
,star,8.343459,38.951684
,star,8.344115,-77.484477
,star,8.344533,72.407232
,star,8.344722,25.336262
,star,8.344754,32.395601
,star,8.344819,5.189363
,star,8.344837,2.664785
,star,8.345182,-64.065736
,star,8.345294,-31.656102
,star,8.345981,-14.363121
,star,8.346245,42.101517
,star,8.346281,61.682157
,star,8.346633,-25.134216
,star,8.346645,35.778811
,star,8.346665,67.526917
,star,8.346688,1.387976
,star,8.346985,16.950147
,star,8.347057,56.95245
,star,8.347312,-41.070977
,star,8.347317,-27.640177
,star,8.347987,-4.866092
,star,8.348247,-62.393455
,star,8.348479,-22.450461
,star,8.348703,14.071332
,star,8.348809,8.742699
,star,8.34955,2.475535
,star,8.350016,47.419071
,star,8.350045,-28.625225
,star,8.35013,-52.227969
,star,8.350123,23.239729
,star,8.350766,45.290775
,star,8.351049,65.442713
,star,8.35133,-4.413062
,star,8.351365,22.031708
,star,8.351527,-46.999303
,star,8.351774,37.27064
,star,8.351787,-30.583685
,star,8.352042,-34.894063
,star,8.352073,47.412912
,star,8.352123,-64.106002
,star,8.352291,47.402368
,star,8.352324,40.347961
,star,8.352591,-52.587459
,star,8.352778,54.994245
,star,8.353152,35.329925
,star,8.353361,-57.97322
,star,8.353553,24.745813
,star,8.353569,-12.826764
,star,8.353582,4.377593
,star,8.353783,38.878416
,star,8.354327,-8.057861
,star,8.354468,1.063775
,star,8.35498,40.18513
,star,8.355221,-14.975885
,star,8.355634,-1.602034
,star,8.355763,34.309969
,star,8.355846,-36.484177
,star,8.355895,-20.079058
,star,8.356397,-33.054366
,star,8.356403,39.389212
,star,8.356718,-39.620714
,star,8.35709,-44.989957
,star,8.357275,-80.707452
,star,8.357621,-86.376726
,star,8.357817,21.909332
,star,8.357825,-39.705409
,star,8.358038,-5.510523
,star,8.358153,3.644517
,star,8.358162,-43.343541
,star,8.358301,12.813334
,star,8.358312,-48.900722
,star,8.358429,-20.794462
,star,8.359045,-8.19178
,star,8.359396,28.817906
,star,8.359535,-2.83132
,star,8.359698,-8.670762
,star,8.35992,69.030317
,star,8.359928,-1.988382
,star,8.360084,-11.045682
,star,8.360291,33.936783
,star,8.360447,-40.454837
,star,8.360631,36.258208
,star,8.36072,-45.002888
,star,8.360725,76.365067
,star,8.361347,-41.195046
,star,8.361455,35.487496
,star,8.361489,-44.227278
,star,8.361544,-42.835882
,star,8.361658,-38.200167
,star,8.361811,59.094472
,star,8.361906,17.285236
,star,8.361989,-20.687965
,star,8.362298,43.333994
,star,8.362881,-60.376024
,star,8.362922,-65.67193
,star,8.363443,14.319292
,star,8.363849,11.04223
,star,8.364208,22.952972
,star,8.364393,-32.044573
,star,8.36479,13.624102
,star,8.364878,10.064351
,star,8.364955,-77.85488
,star,8.364983,17.601056
,star,8.365169,-17.586334
,star,8.365296,-67.334809
,star,8.365523,56.624282
,star,8.365833,-10.748118
,star,8.365847,-47.000986
,star,8.365884,14.768134
,star,8.366352,-15.863796
,star,8.366714,-13.768341
,star,8.36677,-60.620277
,star,8.367059,23.097112
,star,8.367535,-72.96013
,star,8.367689,-0.160085
,star,8.367752,19.959187
,star,8.367918,-73.399985
,star,8.368537,-28.623959
,star,8.36891,-26.441156
,star,8.368941,-40.991455
,star,8.368997,-6.82465
,star,8.369031,-43.662823
,star,8.369189,-65.476568
,star,8.369198,-23.41304
,star,8.369314,74.820364
,star,8.369865,2.15141
,star,8.370115,-47.782703
,star,8.370202,25.923687
,star,8.370422,15.460984
,star,8.370514,-62.323347
,star,8.370607,-65.524341
,star,8.370623,-13.622211
,star,8.370728,48.338108
,star,8.371009,5.962402
,star,8.37102,-9.123049
,star,8.371143,56.836456
,star,8.371341,-36.412035
,star,8.372574,-36.463827
,star,8.372947,-55.221657
,star,8.373197,10.66179
,star,8.373692,14.992192
,star,8.373883,49.478724
,star,8.373976,-58.798471
,star,8.374097,60.050204
,star,8.374217,5.016077
,star,8.374293,-24.781288
,star,8.374462,-25.392893
,star,8.374466,-37.640023
,star,8.375046,-6.179158
Avior,star,8.375236,-59.509483
,star,8.375471,-48.490381
,star,8.375474,-1.926195
,star,8.375523,16.162492
,star,8.375792,-33.923385
,star,8.375823,-29.692404
,star,8.376078,-0.536559
,star,8.376094,-28.976764
,star,8.376347,45.351139
,star,8.376409,32.848477
,star,8.376465,66.545281
,star,8.376661,-78.673217
,star,8.37669,-37.805025
,star,8.376714,49.42177
,star,8.376725,-9.507627
,star,8.376767,-44.185996
,star,8.376879,-49.051286
,star,8.376894,-58.551271
,star,8.377146,-44.865687
,star,8.377488,40.443827
,star,8.37799,-48.21001
,star,8.378569,33.519295
,star,8.378763,25.737283
,star,8.378907,60.631236
,star,8.37893,1.028871
,star,8.378933,-15.91649
,star,8.379259,-38.89407
,star,8.379364,9.462663
,star,8.379371,-31.607543
,star,8.379445,-57.888591
,star,8.37968,-13.054793
,star,8.379845,-0.867587
,star,8.379865,52.627125
,star,8.380046,-76.430798
,star,8.380068,27.523783
,star,8.380109,-16.746833
,star,8.380294,-6.694748
,star,8.380538,-26.34822
Alsciaukat,star,8.380588,43.188131
,star,8.380742,-54.48173
,star,8.380776,24.085433
,star,8.380955,-39.895883
,star,8.381629,-76.435403
,star,8.381693,-7.54312
,star,8.381991,-52.12373
,star,8.382043,40.767133
,star,8.382374,20.56943
,star,8.382414,-4.243245
,star,8.382546,-43.227874
,star,8.382684,31.585505
,star,8.382912,50.954005
,star,8.382926,7.630449
,star,8.383006,-31.44088
,star,8.383153,7.630895
,star,8.383203,-57.133626
,star,8.383285,-71.035837
,star,8.383317,-31.438433
,star,8.383309,-22.175296
,star,8.384049,-27.015118
,star,8.384176,27.093862
,star,8.384197,61.205562
,star,8.384364,20.018216
,star,8.384372,-34.957799
,star,8.384485,0.36452
,star,8.384496,-12.058001
